,name,alcohol_impaired_driving_deaths,high_school_graduation,unemployment,median_household_income,children_in_single_parent_households,social_associations,drug_overdose_deaths,disconnected_youth,homicides,suicides,population,population_density,below_18_years_of_age,X65_and_older,non_hispanic_black,american_indian_or_alaska_native,hispanic,female,excessive_drinking,adult_smoking
2505,Scott County,0.142857143,0.942081851,0.048840651,44599,0.367409685,5.475201898,19.67461218,,,21.18508144,22035,41.39578438,0.233446789,0.176038121,0.003539823,0.003948264,0.012343998,0.500658044,0.143650224,0.286
2506,Sequatchie County,0.2,0.825,0.041227074,56264,0.329787234,4.879238839,47.21232671,,,13.26228164,16909,63.60330408,0.200011828,0.217280738,0.009344136,0.00555917,0.044828198,0.493701579,0.136124353,0.26
2507,Sevier County,0.21978022,0.92,0.0315462,59530,0.273976696,9.5461077,53.53337082,,2.18926966,24.63086491,98789,166.7290223,0.201267348,0.210337183,0.012774702,0.007419854,0.074137809,0.504863902,0.146904958,0.219
2508,Shelby County,0.182207931,0.820665473,0.045153523,61452,0.435105138,9.291971261,45.9673646,0.107139218,26.19579846,11.08033848,916371,1204.872434,0.249285497,0.150711884,0.539846852,0.003555329,0.071369565,0.525078816,0.154290309,0.192
2509,Smith County,0.28,0.94,0.029734441,63960,0.266830138,6.444576641,47.84373247,,,16.32475769,20489,65.19032824,0.223925033,0.170628142,0.023280785,0.006100835,0.034750354,0.49773049,0.157485069,0.225
2510,Stewart County,0,0.975,0.038581093,60242,0.175944334,7.939372068,65.1717396,,,21.63397663,14035,30.52573031,0.211043819,0.204488778,0.019380121,0.007695048,0.037050232,0.495475597,0.153125014,0.213
2511,Sullivan County,0.217391304,0.937654172,0.035119342,54361,0.24608109,12.99720592,33.16763511,0.105583039,4.888417348,18.92282572,160820,388.8828247,0.188452929,0.223896282,0.023243378,0.004004477,0.025270489,0.508581022,0.12507297,0.207
2512,Sumner County,0.295774648,0.95,0.027388067,87453,0.186605597,7.529031647,35.41022232,0.047169811,4.641794259,19.36846548,203858,385.0345688,0.227109066,0.169372799,0.083494393,0.004311825,0.062048092,0.508535353,0.151097197,0.179
2513,Tipton County,0.27027027,0.91,0.036179083,68778,0.302195554,8.03226018,38.47800521,0.104437066,5.805299542,18.38797812,61656,135.3259839,0.234283768,0.158865317,0.181636824,0.005400934,0.031481121,0.505887505,0.163964615,0.207
2514,Trousdale County,0.090909091,0.975,0.029874214,58584,0.377417669,4.154549231,40.25996434,,,21.93954871,12111,105.9193833,0.190818264,0.12897366,0.108413839,0.005862439,0.037073735,0.414168937,0.186193825,0.229
2515,Unicoi County,0.3125,0.925,0.043336638,52260,0.242658424,13.56085433,43.12284386,,,17.89795993,17674,94.98894203,0.176247595,0.241597827,0.005714609,0.006506733,0.063200181,0.500339482,0.144652638,0.235
2516,Union County,0.260869565,0.925,0.037800687,51169,0.161692127,3.493013972,71.42975797,,,18.5254315,20452,91.47376625,0.210835126,0.190983767,0.005329552,0.005769607,0.023469587,0.501760219,0.146450474,0.248
2517,Van Buren County,0.142857143,,0.042274053,50260,0.093775934,0,,,,34.00613956,6429,23.51367985,0.207808368,0.243894852,0.009332711,0.005288536,0.024731685,0.496811324,0.136314185,0.275
2518,Warren County,0.23255814,0.91,0.041519327,52520,0.29238916,9.633215326,24.9186126,0.101527846,5.577147638,19.73099458,42026,97.13098251,0.229334222,0.181221149,0.033550659,0.005282444,0.097249322,0.499024414,0.141084383,0.251
2519,Washington County,0.246153846,0.917702479,0.032309598,64270,0.233249818,12.66426294,32.99676632,0.048497435,4.534731063,20.53579498,136172,417.0042524,0.182320888,0.192682784,0.041535705,0.004509003,0.041910231,0.507350997,0.148182158,0.201
2520,Wayne County,0.181818182,0.975,0.045160296,48321,0.26483705,7.313059906,,,,13.55944258,16308,22.21468059,0.163478048,0.194873682,0.068923228,0.004844248,0.026796664,0.438680402,0.154969985,0.256
2521,Weakley County,0.142857143,0.93,0.034654113,49815,0.261753701,13.62150381,20.06058296,,6.412530941,14.47892641,33063,56.9704828,0.18606902,0.185464114,0.080543205,0.005413907,0.03242295,0.507183256,0.150015497,0.236
2522,White County,0.1875,0.92,0.03493014,49411,0.223701731,7.594936709,48.36642403,0.198113208,6.324577307,20.44366196,28064,74.50390963,0.213511973,0.207347491,0.017887685,0.005131129,0.031927024,0.505166762,0.144303624,0.254
2523,Williamson County,0.247058824,0.96,0.024001738,133486,0.110892718,12.55205584,14.4693338,0.020368322,1.78104234,12.19010076,260815,447.4707034,0.255200046,0.149565784,0.040499971,0.002676226,0.053091272,0.504637387,0.170045547,0.112
2524,Wilson County,0.18627451,0.96,0.026338915,88462,0.188257357,9.215558496,45.64834137,0.056686627,3.762215762,19.08951408,158555,277.636957,0.229958059,0.161205891,0.075973637,0.00495727,0.056825707,0.505263158,0.162918068,0.168
2525,Anderson County,0.186440678,0.973978805,0.03426319,60800,0.271573604,9.075031677,20.69655402,,7.406419885,32.52135733,58064,54.64246478,0.188895012,0.155190824,0.210560761,0.008180628,0.188120006,0.390241802,0.18847775,0.205
2526,Andrews County,0.277777778,0.93,0.031835008,68998,0.175706918,7.04989154,,,,15.69288359,18334,12.21679223,0.31018872,0.100741791,0.013690411,0.016144868,0.593214792,0.488600415,0.190624619,0.167
2527,Angelina County,0.256410256,0.931455585,0.045772266,56825,0.323863636,10.51950154,17.30656073,0.165902459,6.874427131,16.02527276,87101,109.1675938,0.252304796,0.16865478,0.148919071,0.007795548,0.235186737,0.509110114,0.147936246,0.191
2528,Aransas County,0.08,0.875,0.052506994,60523,0.16702509,3.671970624,18.09727984,,,36.49626779,24944,98.95715499,0.181727069,0.278102951,0.014472418,0.013911161,0.297185696,0.502766196,0.162410786,0.185
2529,Archer County,0.157894737,0.929347826,0.033640668,72062,0.178899083,9.215528165,,,,22.79373038,8835,9.780921068,0.222524052,0.211997736,0.010639502,0.017317487,0.093944539,0.499377476,0.189430652,0.175
2530,Armstrong County,0.222222222,,0.027689031,67548,0.134117647,27.18868951,,,,,1850,2.034928319,0.224864865,0.221621622,0.011891892,0.018378378,0.115135135,0.498378378,0.195462246,0.145
2531,Atascosa County,0.2,0.947828829,0.040248778,59817,0.259532225,5.606840345,9.161344362,0.149677419,6.297607768,19.82062874,50864,41.70745506,0.267890846,0.148494023,0.009908776,0.015158069,0.667426864,0.499233249,0.177176524,0.156
2532,Austin County,0.192307692,0.964809417,0.039226793,68630,0.190195252,11.1915734,,,5.251097957,20.80360601,31097,48.10086985,0.234813648,0.210792038,0.085474483,0.010354697,0.289159726,0.496575232,0.181832304,0.163
